epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6936732031926647,0.7899461400359067,0.7314458915886909,0.3875529519442854,0.8879310344827587,0.8564985090810519,0.001,141.58461809158325
2,0.2404346372698111,0.940754039497307,0.9167654566733034,0.3126385335264535,0.896551724137931,0.8695541125541124,0.001,136.1251404285431
3,0.20054902587106027,0.9443447037701975,0.9228310656090584,0.27231474991502436,0.9051724137931034,0.8824329004329006,0.001,136.76712369918823
4,0.15263245173159792,0.9551166965888689,0.9397300090938316,0.2573694504540542,0.9137931034482759,0.8941753246753246,0.001,137.14430809020996
5,0.1284502115187568,0.9658886894075404,0.9523396373227213,0.2554120976349403,0.9051724137931034,0.8826372549019608,0.001,138.19499397277832
6,0.11857788971018321,0.9605026929982047,0.9455587698411951,0.23192852016153007,0.9224137931034483,0.9074411764705882,0.001,136.23343205451965
7,0.1053708948970804,0.9748653500897666,0.9650638268018821,0.22096182200415382,0.9310344827586207,0.9203077453855443,0.001,134.689471244812
8,0.09699053818918431,0.9640933572710951,0.9497531692298322,0.21699431281665277,0.9137931034482759,0.8945012937726411,0.001,136.40405201911926
9,0.08759629655181292,0.9820466786355476,0.9752287293642352,0.2088684455074113,0.9310344827586207,0.9203077453855443,0.001,133.68028807640076
10,0.06929269323336158,0.9874326750448833,0.9821662387676507,0.20492699793700514,0.9396551724137931,0.9321069518716577,0.001,142.23131847381592
